id	isolate	aliases	country	continent	region_of_isolation	country_of_patient	continent_of_patient	species	year	host	spoligotype	clonal_complex	lineage	sublineage	genome_status	data_source	ENA_accession	rMLST_database_accession	comments	sender	curator	date_entered	datestamp
1565	ERR181759	ERR181759						Mycobacterium tuberculosis							draft	ENA SRA	ERR181759	17970		2	-1	2014-12-12	2022-06-29
1566	ERR108445	ERR108445						Mycobacterium tuberculosis							draft	ENA SRA	ERR108445	17971		2	2	2014-12-12	2017-08-24
1567	ERR190392	ERR190392						Mycobacterium tuberculosis							draft	ENA SRA	ERR190392	17972		2	2	2014-12-12	2017-08-10
1568	ERR181686	ERR181686						Mycobacterium tuberculosis							draft	ENA SRA	ERR181686	17973		2	2	2014-12-12	2017-08-24
1569	ERR108139	ERR108139						Mycobacterium tuberculosis							draft	ENA SRA	ERR108139	17974		2	2	2014-12-12	2017-08-24
1570	ERR171139	ERR171139						Mycobacterium tuberculosis							draft	ENA SRA	ERR171139	17975		2	2	2014-12-12	2017-08-10
1571	ERR190338	ERR190338						Mycobacterium tuberculosis							draft	ENA SRA	ERR190338	17976		2	-1	2014-12-12	2022-06-29
1572	ERR114516	ERR114516						Mycobacterium tuberculosis							draft	ENA SRA	ERR114516	17977		2	2	2014-12-12	2017-08-10
1573	ERR108437	ERR108437						Mycobacterium tuberculosis							draft	ENA SRA	ERR108437	17978		2	2	2014-12-12	2017-08-24
1574	ERR171166	ERR171166						Mycobacterium tuberculosis							draft	ENA SRA	ERR171166	17979		2	2	2014-12-12	2017-08-24
1575	ERR108135	ERR108135						Mycobacterium tuberculosis							draft	ENA SRA	ERR108135	17980		2	2	2014-12-12	2017-08-24
1576	ERR067597	ERR067597						Mycobacterium tuberculosis							draft	ENA SRA	ERR067597	17981		2	2	2014-12-12	2017-08-24
1577	ERR108423	ERR108423						Mycobacterium tuberculosis							draft	ENA SRA	ERR108423	17982		2	2	2014-12-12	2017-08-24
1578	ERR108141	ERR108141						Mycobacterium tuberculosis							draft	ENA SRA	ERR108141	17983		2	2	2014-12-12	2017-08-10
1579	ERR067612	ERR067612						Mycobacterium tuberculosis							draft	ENA SRA	ERR067612	17984		2	2	2014-12-12	2017-08-24
1580	ERR171132	ERR171132						Mycobacterium tuberculosis							draft	ENA SRA	ERR171132	17985		2	2	2014-12-12	2017-08-24
1581	ERR123915	ERR123915						Mycobacterium tuberculosis							draft	ENA SRA	ERR123915	17986		2	2	2014-12-12	2017-08-11
1582	ERR190376	ERR190376						Mycobacterium tuberculosis							draft	ENA SRA	ERR190376	17987		2	2	2014-12-12	2017-08-10
1583	ERR190335	ERR190335						Mycobacterium tuberculosis							draft	ENA SRA	ERR190335	17988		2	2	2014-12-12	2017-08-24
1584	ERR108446	ERR108446						Mycobacterium tuberculosis							draft	ENA SRA	ERR108446	17989		2	2	2014-12-12	2017-08-24
1585	ERR067616	ERR067616						Mycobacterium tuberculosis							draft	ENA SRA	ERR067616	17990		2	2	2014-12-12	2017-08-24
1586	ERR108154	ERR108154						Mycobacterium tuberculosis							draft	ENA SRA	ERR108154	17991		2	2	2014-12-12	2017-08-24
1587	ERR171141	ERR171141						Mycobacterium tuberculosis							draft	ENA SRA	ERR171141	17992		2	2	2014-12-12	2017-08-10
1588	ERR137274	ERR137274						Mycobacterium tuberculosis							draft	ENA SRA	ERR137274	17993		2	2	2014-12-12	2017-08-24
1589	ERR190352	ERR190352						Mycobacterium tuberculosis							draft	ENA SRA	ERR190352	17994		2	2	2014-12-12	2017-08-24
1590	ERR108427	ERR108427						Mycobacterium tuberculosis							draft	ENA SRA	ERR108427	17995		2	2	2014-12-12	2017-08-16
1591	ERR181677	ERR181677						Mycobacterium tuberculosis							draft	ENA SRA	ERR181677	17996		2	2	2014-12-12	2017-08-24
1592	ERR108504	ERR108504						Mycobacterium tuberculosis							draft	ENA SRA	ERR108504	17997		2	2	2014-12-12	2017-08-10
1593	ERR108142	ERR108142						Mycobacterium tuberculosis							draft	ENA SRA	ERR108142	17998		2	2	2014-12-12	2017-08-10
1594	ERR067606	ERR067606						Mycobacterium tuberculosis							draft	ENA SRA	ERR067606	17999		2	2	2014-12-12	2017-08-24
1595	ERR190351	ERR190351						Mycobacterium tuberculosis							draft	ENA SRA	ERR190351	18000		2	2	2014-12-12	2017-08-24
1596	ERR133841	ERR133841						Mycobacterium tuberculosis							draft	ENA SRA	ERR133841	18001		2	2	2014-12-12	2017-08-17
1597	ERR067602	ERR067602						Mycobacterium tuberculosis							draft	ENA SRA	ERR067602	18002		2	2	2014-12-12	2017-08-10
1598	ERR108481	ERR108481						Mycobacterium tuberculosis							draft	ENA SRA	ERR108481	18003		2	2	2014-12-12	2017-08-24
1599	ERR108478	ERR108478						Mycobacterium tuberculosis							draft	ENA SRA	ERR108478	18004		2	2	2014-12-12	2017-08-10
1600	ERR137238	ERR137238						Mycobacterium tuberculosis							draft	ENA SRA	ERR137238	18005		2	2	2014-12-12	2017-08-10
1601	ERR108136	ERR108136						Mycobacterium tuberculosis							draft	ENA SRA	ERR108136	18006		2	2	2014-12-12	2017-08-24
1602	ERR190330	ERR190330						Mycobacterium tuberculosis							draft	ENA SRA	ERR190330	18007		2	2	2014-12-12	2017-08-24
1603	ERR108425	ERR108425						Mycobacterium tuberculosis							draft	ENA SRA	ERR108425	18008		2	2	2014-12-12	2017-08-24
1604	ERR108497	ERR108497						Mycobacterium tuberculosis							draft	ENA SRA	ERR108497	18009		2	2	2014-12-12	2017-08-24
1605	ERR108472	ERR108472						Mycobacterium tuberculosis							draft	ENA SRA	ERR108472	18010		2	2	2014-12-12	2017-08-24
1606	ERR067591	ERR067591						Mycobacterium tuberculosis							draft	ENA SRA	ERR067591	18011		2	2	2014-12-12	2017-08-24
1607	ERR190348	ERR190348						Mycobacterium tuberculosis							draft	ENA SRA	ERR190348	18012		2	2	2014-12-12	2017-08-24
1608	ERR108463	ERR108463						Mycobacterium tuberculosis							draft	ENA SRA	ERR108463	18013		2	2	2014-12-12	2017-08-10
1609	ERR023258	ERR023258						Mycobacterium tuberculosis							draft	ENA SRA	ERR023258	18623		2	2	2014-12-12	2017-08-08
1610	ERR046765	ERR046765						Mycobacterium tuberculosis							draft	ENA SRA	ERR046765	18624		2	2	2014-12-12	2017-08-10
1611	ERR046755	ERR046755						Mycobacterium tuberculosis							draft	ENA SRA	ERR046755	18625		2	2	2014-12-12	2017-08-10
1612	ERR046763	ERR046763						Mycobacterium tuberculosis							draft	ENA SRA	ERR046763	18626		2	2	2014-12-12	2017-08-10
1613	ERR046743	ERR046743						Mycobacterium tuberculosis							draft	ENA SRA	ERR046743	18627		2	2	2014-12-12	2017-08-24
1614	SRR413222	SRR413222						Mycobacterium tuberculosis							draft	ENA SRA	SRR413222	18628		2	2	2014-12-12	2017-08-24
1615	ERR038297	ERR038297						Mycobacterium tuberculosis							draft	ENA SRA	ERR038297	18629		2	2	2014-12-12	2017-08-24
1616	ERR046800	ERR046800						Mycobacterium tuberculosis							draft	ENA SRA	ERR046800	18630		2	2	2014-12-12	2017-08-24
1617	ERR037472	ERR037472						Mycobacterium tuberculosis							draft	ENA SRA	ERR037472	18631		2	2	2014-12-12	2017-08-24
1618	ERR039344	ERR039344						Mycobacterium tuberculosis							draft	ENA SRA	ERR039344	18632		2	2	2014-12-12	2017-08-24
1619	ERR046732	ERR046732						Mycobacterium tuberculosis							draft	ENA SRA	ERR046732	18633		2	2	2014-12-12	2017-08-24
1620	ERR046908	ERR046908						Mycobacterium tuberculosis							draft	ENA SRA	ERR046908	18634		2	2	2014-12-12	2017-08-24
1621	ERR028336	ERR028336						Mycobacterium tuberculosis							draft	ENA SRA	ERR028336	18635		2	2	2014-12-12	2017-08-10
1622	ERR039324	ERR039324						Mycobacterium tuberculosis							draft	ENA SRA	ERR039324	18636		2	2	2014-12-12	2017-08-24
1623	ERR046741	ERR046741						Mycobacterium tuberculosis							draft	ENA SRA	ERR046741	18637		2	2	2014-12-12	2017-08-24
1624	ERR028348	ERR028348						Mycobacterium tuberculosis							draft	ENA SRA	ERR028348	18638		2	2	2014-12-12	2017-08-24
1625	ERR038253	ERR038253						Mycobacterium tuberculosis							draft	ENA SRA	ERR038253	18639		2	2	2014-12-12	2017-08-24
1626	ERR046815	ERR046815						Mycobacterium tuberculosis							draft	ENA SRA	ERR046815	18640		2	2	2014-12-12	2017-08-24
1627	ERR037476	ERR037476						Mycobacterium tuberculosis							draft	ENA SRA	ERR037476	18641		2	2	2014-12-12	2017-08-24
1628	SRR058369	SRR058369						Mycobacterium tuberculosis							draft	ENA SRA	SRR058369	18642		2	2	2014-12-12	2017-08-24
1629	ERR046803	ERR046803						Mycobacterium tuberculosis							draft	ENA SRA	ERR046803	18643		2	2	2014-12-12	2017-08-24
1630	ERR038296	ERR038296						Mycobacterium tuberculosis							draft	ENA SRA	ERR038296	18644		2	2	2014-12-12	2017-08-24
1631	ERR046756	ERR046756						Mycobacterium tuberculosis							draft	ENA SRA	ERR046756	18645		2	2	2014-12-12	2017-08-10
1632	ERR046759	ERR046759						Mycobacterium tuberculosis							draft	ENA SRA	ERR046759	18646		2	2	2014-12-12	2017-08-10
1633	ERR038295	ERR038295						Mycobacterium tuberculosis							draft	ENA SRA	ERR038295	18647		2	2	2014-12-12	2017-08-24
1634	ERR046753	ERR046753						Mycobacterium tuberculosis							draft	ENA SRA	ERR046753	18648		2	2	2014-12-12	2017-08-10
1635	ERR046824	ERR046824						Mycobacterium tuberculosis							draft	ENA SRA	ERR046824	18649		2	2	2014-12-12	2017-08-24
1636	ERR046734	ERR046734						Mycobacterium tuberculosis							draft	ENA SRA	ERR046734	18650		2	2	2014-12-12	2017-08-24
1637	ERR038258	ERR038258						Mycobacterium tuberculosis							draft	ENA SRA	ERR038258	18651		2	2	2014-12-12	2017-08-24
1638	ERR216984	ERR216984						Mycobacterium tuberculosis							draft	ENA SRA	ERR216984	18652		2	2	2014-12-12	2017-08-24
1639	ERR046876	ERR046876						Mycobacterium tuberculosis							draft	ENA SRA	ERR046876	18653		2	2	2014-12-12	2017-08-10
1640	SRR400040	SRR400040						Mycobacterium tuberculosis							draft	ENA SRA	SRR400040	18654		2	2	2014-12-12	2017-08-04
1641	ERR025418	ERR025418						Mycobacterium tuberculosis							draft	ENA SRA	ERR025418	18655		2	2	2014-12-12	2017-08-24
1642	ERR025843	ERR025843						Mycobacterium tuberculosis							draft	ENA SRA	ERR025843	18656		2	2	2014-12-12	2017-08-24
1643	ERR046793	ERR046793						Mycobacterium tuberculosis							draft	ENA SRA	ERR046793	18657		2	2	2014-12-12	2017-08-24
1644	ERR038259	ERR038259						Mycobacterium tuberculosis							draft	ENA SRA	ERR038259	18658		2	2	2014-12-12	2017-08-24
1645	ERR037489	ERR037489						Mycobacterium tuberculosis							draft	ENA SRA	ERR037489	18659		2	2	2014-12-12	2017-08-24
1646	ERR038287	ERR038287						Mycobacterium tuberculosis							draft	ENA SRA	ERR038287	18660		2	2	2014-12-12	2017-08-24
1647	ERR046746	ERR046746						Mycobacterium tuberculosis							draft	ENA SRA	ERR046746	18661		2	2	2014-12-12	2017-08-24
1648	ERR046788	ERR046788						Mycobacterium tuberculosis							draft	ENA SRA	ERR046788	18662		2	2	2014-12-12	2017-08-24
1649	ERR046774	ERR046774						Mycobacterium tuberculosis							draft	ENA SRA	ERR046774	18663		2	2	2014-12-12	2017-08-24
1650	ERR216962	ERR216962						Mycobacterium tuberculosis							draft	ENA SRA	ERR216962	18664		2	2	2014-12-12	2017-08-24
1651	ERR046907	ERR046907						Mycobacterium tuberculosis							draft	ENA SRA	ERR046907	18665		2	2	2014-12-12	2017-08-24
1652	ERR047881	ERR047881						Mycobacterium tuberculosis							draft	ENA SRA	ERR047881	18666		2	2	2014-12-12	2017-08-24
1653	ERR046749	ERR046749						Mycobacterium tuberculosis							draft	ENA SRA	ERR046749	18667		2	2	2014-12-12	2017-08-24
1654	ERR216944	ERR216944						Mycobacterium tuberculosis							draft	ENA SRA	ERR216944	18668		2	2	2014-12-12	2017-08-24
1655	ERR036192	ERR036192						Mycobacterium tuberculosis							draft	ENA SRA	ERR036192	18669		2	2	2014-12-12	2017-08-24
1656	ERR046863	ERR046863						Mycobacterium tuberculosis							draft	ENA SRA	ERR046863	18670		2	2	2014-12-12	2017-08-24
1657	ERR037541	ERR037541						Mycobacterium tuberculosis							draft	ENA SRA	ERR037541	18671		2	2	2014-12-12	2017-08-24
1658	ERR037524	ERR037524						Mycobacterium tuberculosis							draft	ENA SRA	ERR037524	18672		2	2	2014-12-12	2017-08-24
1659	ERR046841	ERR046841						Mycobacterium tuberculosis							draft	ENA SRA	ERR046841	18673		2	2	2014-12-12	2017-08-24
1660	ERR038257	ERR038257						Mycobacterium tuberculosis							draft	ENA SRA	ERR038257	18674		2	2	2014-12-12	2017-08-24
1661	ERR046903	ERR046903						Mycobacterium tuberculosis							draft	ENA SRA	ERR046903	18675		2	2	2014-12-12	2017-08-10
1662	ERR046906	ERR046906						Mycobacterium tuberculosis							draft	ENA SRA	ERR046906	18676		2	2	2014-12-12	2017-08-24
1663	ERR038736	ERR038736						Mycobacterium tuberculosis							draft	ENA SRA	ERR038736	18677		2	2	2014-12-12	2017-08-24
1664	ERR039341	ERR039341						Mycobacterium tuberculosis							draft	ENA SRA	ERR039341	18678		2	2	2014-12-12	2017-08-24
1665	ERR046796	ERR046796						Mycobacterium tuberculosis							draft	ENA SRA	ERR046796	18679		2	2	2014-12-12	2017-08-10
1666	ERR046817	ERR046817						Mycobacterium tuberculosis							draft	ENA SRA	ERR046817	18680		2	2	2014-12-12	2017-08-10
1667	ERR037503	ERR037503						Mycobacterium tuberculosis							draft	ENA SRA	ERR037503	18681		2	2	2014-12-12	2017-08-24
1668	ERR046857	ERR046857						Mycobacterium tuberculosis							draft	ENA SRA	ERR046857	18682		2	2	2014-12-12	2017-08-24
1669	ERR037483	ERR037483						Mycobacterium tuberculosis							draft	ENA SRA	ERR037483	18683		2	2	2014-12-12	2017-08-24
1670	ERR039333	ERR039333						Mycobacterium tuberculosis							draft	ENA SRA	ERR039333	18684		2	2	2014-12-12	2017-08-24
1671	ERR046852	ERR046852						Mycobacterium tuberculosis							draft	ENA SRA	ERR046852	18685		2	2	2014-12-12	2017-08-24
1672	ERR039330	ERR039330						Mycobacterium tuberculosis							draft	ENA SRA	ERR039330	18686		2	2	2014-12-12	2017-08-24
1673	ERR039346	ERR039346						Mycobacterium tuberculosis							draft	ENA SRA	ERR039346	18687		2	2	2014-12-12	2017-08-24
1674	ERR046737	ERR046737						Mycobacterium tuberculosis							draft	ENA SRA	ERR046737	18688		2	2	2014-12-12	2017-08-24
1675	ERR025444	ERR025444						Mycobacterium tuberculosis							draft	ENA SRA	ERR025444	18689		2	2	2014-12-12	2017-08-24
1676	ERR037518	ERR037518						Mycobacterium tuberculosis							draft	ENA SRA	ERR037518	18690		2	2	2014-12-12	2017-08-24
1677	ERR046855	ERR046855						Mycobacterium tuberculosis							draft	ENA SRA	ERR046855	18691		2	2	2014-12-12	2017-08-24
1678	ERR037542	ERR037542						Mycobacterium tuberculosis							draft	ENA SRA	ERR037542	18692		2	-1	2014-12-12	2022-06-29
1679	ERR046901	ERR046901						Mycobacterium tuberculosis							draft	ENA SRA	ERR046901	18693		2	2	2014-12-12	2017-08-24
1680	ERR046887	ERR046887						Mycobacterium tuberculosis							draft	ENA SRA	ERR046887	18694		2	2	2014-12-12	2017-08-24
1681	ERR025443	ERR025443						Mycobacterium tuberculosis							draft	ENA SRA	ERR025443	18695		2	2	2014-12-12	2017-08-24
1682	ERR046792	ERR046792						Mycobacterium tuberculosis							draft	ENA SRA	ERR046792	18696		2	2	2014-12-12	2017-08-24
1683	ERR046820	ERR046820						Mycobacterium tuberculosis							draft	ENA SRA	ERR046820	18697		2	2	2014-12-12	2017-08-17
1684	ERR046781	ERR046781						Mycobacterium tuberculosis							draft	ENA SRA	ERR046781	18698		2	2	2014-12-12	2017-08-24
1685	ERR039334	ERR039334						Mycobacterium tuberculosis							draft	ENA SRA	ERR039334	18699		2	2	2014-12-12	2017-08-24
1686	ERR046834	ERR046834						Mycobacterium tuberculosis							draft	ENA SRA	ERR046834	18700		2	2	2014-12-12	2017-08-11
1687	ERR036202	ERR036202						Mycobacterium tuberculosis							draft	ENA SRA	ERR036202	18701		2	2	2014-12-12	2017-08-24
1688	ERR046869	ERR046869						Mycobacterium tuberculosis							draft	ENA SRA	ERR046869	18702		2	2	2014-12-12	2017-08-10
1689	ERR216952	ERR216952						Mycobacterium tuberculosis							draft	ENA SRA	ERR216952	18703		2	2	2014-12-12	2017-08-24
1690	ERR037499	ERR037499						Mycobacterium tuberculosis							draft	ENA SRA	ERR037499	18704		2	2	2014-12-12	2017-08-24
1691	ERR046867	ERR046867						Mycobacterium tuberculosis							draft	ENA SRA	ERR046867	18705		2	2	2014-12-12	2017-08-24
1692	ERR046782	ERR046782						Mycobacterium tuberculosis							draft	ENA SRA	ERR046782	18706		2	2	2014-12-12	2017-08-24
1693	ERR046835	ERR046835						Mycobacterium tuberculosis							draft	ENA SRA	ERR046835	18707		2	2	2014-12-12	2017-08-24
1694	SRR058402	SRR058402						Mycobacterium tuberculosis							draft	ENA SRA	SRR058402	18708		2	2	2014-12-12	2017-08-24
1695	ERR037531	ERR037531						Mycobacterium tuberculosis							draft	ENA SRA	ERR037531	18709		2	2	2014-12-12	2017-08-24
1696	ERR216941	ERR216941						Mycobacterium tuberculosis							draft	ENA SRA	ERR216941	18710		2	2	2014-12-12	2017-08-24
1697	ERR037496	ERR037496						Mycobacterium tuberculosis							draft	ENA SRA	ERR037496	18711		2	2	2014-12-12	2017-08-24
1698	ERR216933	ERR216933						Mycobacterium tuberculosis							draft	ENA SRA	ERR216933	18712		2	2	2014-12-12	2017-08-24
1699	ERR036214	ERR036214						Mycobacterium tuberculosis							draft	ENA SRA	ERR036214	18713		2	2	2014-12-12	2017-08-24
1700	ERR037509	ERR037509						Mycobacterium tuberculosis							draft	ENA SRA	ERR037509	18714		2	2	2014-12-12	2017-08-10
1701	ERR046821	ERR046821						Mycobacterium tuberculosis							draft	ENA SRA	ERR046821	18715		2	2	2014-12-12	2017-08-16
1702	ERR216906	ERR216906						Mycobacterium tuberculosis							draft	ENA SRA	ERR216906	18716		2	2	2014-12-12	2017-08-24
1703	ERR037479	ERR037479						Mycobacterium tuberculosis							draft	ENA SRA	ERR037479	18717		2	2	2014-12-12	2017-08-24
1704	ERR037493	ERR037493						Mycobacterium tuberculosis							draft	ENA SRA	ERR037493	18718		2	-1	2014-12-12	2022-06-29
1705	ERR037491	ERR037491						Mycobacterium tuberculosis							draft	ENA SRA	ERR037491	18719		2	2	2014-12-12	2017-08-24
1706	ERR047016	ERR047016						Mycobacterium tuberculosis							draft	ENA SRA	ERR047016	18720		2	2	2014-12-12	2017-08-10
1707	ERR025452	ERR025452						Mycobacterium tuberculosis							draft	ENA SRA	ERR025452	18721		2	2	2014-12-12	2017-08-10
1708	SRR058418	SRR058418						Mycobacterium tuberculosis							draft	ENA SRA	SRR058418	18722		2	2	2014-12-12	2017-08-24
1709	ERR037480	ERR037480						Mycobacterium tuberculosis							draft	ENA SRA	ERR037480	18723		2	2	2014-12-12	2017-08-24
1710	ERR216946	ERR216946						Mycobacterium tuberculosis							draft	ENA SRA	ERR216946	18724		2	2	2014-12-12	2017-08-24
1711	ERR046807	ERR046807						Mycobacterium tuberculosis							draft	ENA SRA	ERR046807	18725		2	2	2014-12-12	2017-08-24
1712	ERR031473	ERR031473						Mycobacterium tuberculosis							draft	ENA SRA	ERR031473	18726		2	2	2014-12-12	2017-08-24
1713	ERR029205	ERR029205						Mycobacterium tuberculosis							draft	ENA SRA	ERR029205	18727		2	2	2014-12-12	2017-08-24
1714	SRR058415	SRR058415						Mycobacterium tuberculosis							draft	ENA SRA	SRR058415	18728		2	2	2014-12-12	2017-08-24
1715	ERR046936	ERR046936						Mycobacterium tuberculosis							draft	ENA SRA	ERR046936	18729		2	2	2014-12-12	2017-08-24
1716	ERR230066	ERR230066						Mycobacterium tuberculosis							draft	ENA SRA	ERR230066	18730		2	-1	2014-12-12	2022-06-29
1717	ERR025448	ERR025448						Mycobacterium tuberculosis							draft	ENA SRA	ERR025448	18731		2	2	2014-12-12	2017-08-24
1718	ERR028325	ERR028325						Mycobacterium tuberculosis							draft	ENA SRA	ERR028325	18732		2	-1	2014-12-12	2022-06-29
1719	ERR216932	ERR216932						Mycobacterium tuberculosis							draft	ENA SRA	ERR216932	18733		2	2	2014-12-12	2017-08-24
1720	ERR025426	ERR025426						Mycobacterium tuberculosis							draft	ENA SRA	ERR025426	18734		2	2	2014-12-12	2017-08-24
1721	ERR161071	ERR161071						Mycobacterium tuberculosis							draft	ENA SRA	ERR161071	18735		2	2	2014-12-12	2017-08-24
1722	ERR025846	ERR025846						Mycobacterium tuberculosis							draft	ENA SRA	ERR025846	18736		2	2	2014-12-12	2017-08-24
1723	ERR025428	ERR025428						Mycobacterium tuberculosis							draft	ENA SRA	ERR025428	18737		2	2	2014-12-12	2017-08-24
1724	ERR216922	ERR216922						Mycobacterium tuberculosis							draft	ENA SRA	ERR216922	18738		2	2	2014-12-12	2017-08-24
1725	ERR216915	ERR216915						Mycobacterium tuberculosis							draft	ENA SRA	ERR216915	18739		2	2	2014-12-12	2017-08-24
1726	ERR025435	ERR025435						Mycobacterium tuberculosis							draft	ENA SRA	ERR025435	18740		2	2	2014-12-12	2017-08-24
1727	ERR028628	ERR028628						Mycobacterium tuberculosis							draft	ENA SRA	ERR028628	18741		2	2	2014-12-12	2017-08-24
1728	ERR228103	ERR228103						Mycobacterium tuberculosis							draft	ENA SRA	ERR228103	18742		2	2	2014-12-12	2017-08-24
1729	ERR028351	ERR028351						Mycobacterium tuberculosis							draft	ENA SRA	ERR028351	18743		2	2	2014-12-12	2017-08-24
